id,category,hook,status,posted_date,views,likes,saves,comments,rating
A01,あるある,師長にAIで見せたら黙った,posted,2026-02-21,,,,,
A02,あるある,夜勤明けの顔をAIに何歳,posted,2026-02-21,,,,,
A03,あるある,ナースコール3連続をAIに再現,pending,,,,,,,
A04,あるある,先輩の「前にも言ったよね」をAIに,pending,,,,,,,
A05,あるある,看護記録をAIに書かせてみた,pending,,,,,,,
B01,転職,同じ経験5年でも年収100万違う理由,pending,,,,,,,
B02,転職,転職したいけど怖いをAIに相談,pending,,,,,,,
B03,転職,AIに私の経験年数で転職するべきか聞いた,pending,,,,,,,
B04,転職,看護師の転職エージェントの手数料知ってますか,pending,,,,,,,
B05,転職,面接で聞かれる退職理由をAIに添削,pending,,,,,,,
C01,給与,神奈川の看護師平均年収地域別調べた,pending,,,,,,,
C02,給与,夜勤手当の相場をAIにまとめさせた,pending,,,,,,,
C03,給与,5年目看護師の手取り全国平均と比較,pending,,,,,,,
C04,給与,転職で年収50万上がった人の共通点,pending,,,,,,,
C05,給与,手数料30%が看護師の給与にどう影響するか,pending,,,,,,,
T01,トレンド,2026年看護師転職市場の変化,pending,,,,,,,
